Pilotos,Nacionalidade,Temporadas,Titulos,Participacao,Largadas,Pole_Positions,Vitorias,Podio,Volta_rapida,Pontos,Ano_titulo,Taxa_pole,Taxa_largadas,Taxa_Vitoria,Taxa_podio,Taxa_volta_rapida,Pontos_largadas,Campeao,Pilotos_1,Idade,Data_acidente,Corrida,Equipe,Evento,Circuito,Nacionalidade_pt
Roberto Merhi,Spain,[2015],0,14,13,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.93,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Espanha
Roberto Mieres,Argentina,"[1953, 1954, 1955]",0,17,17,0,0,0,1,13,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.06,0.76,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Argentina
Roberto Moreno,Brazil,"[1982, 1987, 1989, 1990, 1991, 1992, 1995]",0,77,41,0,0,1,1,15,                                                                                                                                                                                                                                                               ,0.0,0.53,0.0,0.01,0.01,0.19,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Brasil
Robin Montgomerie-Charrington,United Kingdom,[1952],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Robin Widdows,United Kingdom,[1968],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Rodger Ward,United States,"[1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1963]",0,12,12,0,1,2,0,14,                                                                                                                                                                                                                                                               ,0.0,1.0,0.08,0.17,0.0,1.17,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Rodney Nuckey,United Kingdom,[1953],0,2,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.5,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Roelof Wunderink,Netherlands,[1975],0,6,3,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.5,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Países Baixos
Roger Laurent,Belgium,[1952],0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Bélgica
Roger Loyer,France,[1954],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,França
Roger Penske,United States,"[1961, 1962]",0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Roger Williamson,United Kingdom,[1973],0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,Roger Williamson                                                                                                                                                                                                                                               ,25,07/29/73                                                                                                                                                                                                                                                       ,Dutch Grand Prix,March,Race,Dutch Grand Prix,Reino Unido
Roland Ratzenberger,Austria,[1994],0,3,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.33,0.0,0.0,0.0,0.0,False,Roland Ratzenberger                                                                                                                                                                                                                                            ,33,04/30/94                                                                                                                                                                                                                                                       ,San Marino Grand Prix,Simtek,Qualifying,San Marino Grand Prix,Áustria
Rolf Stommelen,West Germany,"[1970, 1971, 1972, 1973, 1974, 1975, 1976, 1978]",0,63,54,0,0,1,0,14,                                                                                                                                                                                                                                                               ,0.0,0.86,0.0,0.02,0.0,0.22,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Alemanha Ocidental
Romain Grosjean,France,"[2009, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",0,181,179,0,0,10,1,391,                                                                                                                                                                                                                                                               ,0.0,0.99,0.0,0.06,0.01,2.16,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,França
Ron Flockhart,United Kingdom,"[1954, 1956, 1957, 1958, 1959, 1960]",0,14,14,0,0,1,0,5,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.07,0.0,0.36,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Ronnie Bucknum,United States,"[1964, 1965, 1966]",0,11,11,0,0,0,0,2,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.18,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Ronnie Peterson,Sweden,"[1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978]",0,123,123,14,10,26,9,206,                                                                                                                                                                                                                                                               ,0.11,1.0,0.08,0.21,0.07,1.67,False,Ronnie Peterson                                                                                                                                                                                                                                                ,34,09/10/78                                                                                                                                                                                                                                                       ,Italian Grand Prix,Lotus,Race,Italian Grand Prix,Suécia
Roy Salvadori,United Kingdom,"[1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962]",0,50,47,0,0,2,0,19,                                                                                                                                                                                                                                                               ,0.0,0.94,0.0,0.04,0.0,0.38,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Rubens Barrichello,Brazil,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011]",0,326,322,14,11,68,17,658,                                                                                                                                                                                                                                                               ,0.04,0.99,0.03,0.21,0.05,2.02,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Brasil
Rudi Fischer,Switzerland,"[1951, 1952]",0,8,7,0,0,2,0,10,                                                                                                                                                                                                                                                               ,0.0,0.88,0.0,0.25,0.0,1.25,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Suíça
Rudolf Krause,East Germany,"[1952, 1953]",0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Alemanha Oriental
Rudolf Schoeller,Switzerland,[1952],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Suíça
Rupert Keegan,United Kingdom,"[1977, 1978, 1980, 1982]",0,37,25,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.68,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Sakon Yamamoto,Japan,"[2006, 2007, 2010]",0,21,21,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Japão
Sam Hanks,United States,"[1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957]",0,8,8,0,1,4,0,20,                                                                                                                                                                                                                                                               ,0.0,1.0,0.12,0.5,0.0,2.5,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Sam Posey,United States,"[1971, 1972]",0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Sam Tingle,Rhodesia,"[1963, 1965, 1967, 1968, 1969]",0,5,5,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Rodésia
Satoru Nakajima,Japan,"[1987, 1988, 1989, 1990, 1991]",0,80,74,0,0,0,1,16,                                                                                                                                                                                                                                                               ,0.0,0.92,0.0,0.0,0.01,0.2,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Japão
Scott Speed,United States,"[2006, 2007]",0,28,28,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Sebastian Vettel,Germany,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",4,299,299,57,53,122,38,3098,"[2010, 2011, 2012, 2013]                                                                                                                                                                                                                                       ",0.19,1.0,0.18,0.41,0.13,10.36,True,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Alemanha
Sergey Sirotkin,Russia,[2018],0,21,21,0,0,0,0,1,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.05,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Rússia
Sergio Mantovani,Italy,"[1953, 1954, 1955]",0,8,7,0,0,0,0,4,                                                                                                                                                                                                                                                               ,0.0,0.88,0.0,0.0,0.0,0.5,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
Sergio Pérez,Mexico,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",0,280,279,3,6,39,11,1637,                                                                                                                                                                                                                                                               ,0.01,1.0,0.02,0.14,0.04,5.87,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,México
Nan,,,0,0,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,,,,,,,,Shane Summers                                                                                                                                                                                                                                                  ,24,06/01/61                                                                                                                                                                                                                                                       ,Silver City Trophy,Cooper,Practice,Silver City Trophy,
Shinji Nakano,Japan,"[1997, 1998]",0,33,33,0,0,0,0,2,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.06,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Japão
Shorty Templeman,United States,"[1955, 1958, 1960]",0,5,3,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.6,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Siegfried Stohr,Italy,[1981],0,13,9,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.69,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
Silvio Moser,Switzerland,"[1967, 1968, 1969, 1970, 1971]",0,20,12,0,0,0,0,3,                                                                                                                                                                                                                                                               ,0.0,0.6,0.0,0.0,0.0,0.15,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Suíça
Skip Barber,United States,"[1971, 1972]",0,6,5,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.83,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Slim Borgudd,Sweden,"[1981, 1982]",0,15,10,0,0,0,0,1,                                                                                                                                                                                                                                                               ,0.0,0.67,0.0,0.0,0.0,0.07,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Suécia
Spider Webb,United States,"[1950, 1952, 1953, 1954]",0,5,4,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.8,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Stefan Bellof,West Germany,"[1984, 1985]",0,22,20,0,0,0,0,4,                                                                                                                                                                                                                                                               ,0.0,0.91,0.0,0.0,0.0,0.18,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Alemanha Ocidental
Stefan Johansson,Sweden,"[1980, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991]",0,103,79,0,0,12,0,88,                                                                                                                                                                                                                                                               ,0.0,0.77,0.0,0.12,0.0,0.85,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Suécia
Stefano Modena,Italy,"[1987, 1988, 1989, 1990, 1991, 1992]",0,81,70,0,0,2,0,17,                                                                                                                                                                                                                                                               ,0.0,0.86,0.0,0.02,0.0,0.21,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
Stephen South,United Kingdom,[1980],0,1,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Stirling Moss,United Kingdom,"[1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961]",0,67,66,16,16,24,19,186,                                                                                                                                                                                                                                                               ,0.24,0.99,0.24,0.36,0.28,2.77,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Stoffel Vandoorne,Belgium,"[2016, 2017, 2018]",0,42,41,0,0,0,0,26,                                                                                                                                                                                                                                                               ,0.0,0.98,0.0,0.0,0.0,0.62,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Bélgica
Stuart Lewis-Evans,United Kingdom,"[1957, 1958]",0,14,14,2,0,2,0,16,                                                                                                                                                                                                                                                               ,0.14,1.0,0.0,0.14,0.0,1.14,False,Stuart Lewis-Evans                                                                                                                                                                                                                                             ,28,09/19/58                                                                                                                                                                                                                                                       ,Moroccan Grand Prix,Vanwall,Race,Moroccan Grand Prix,Reino Unido
Stéphane Sarrazin,France,[1999],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,França
Syd Van Der Vyver,South Africa,[1962],0,1,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,África do Sul
